lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.016396552324295044,3.333326816558838,0.0
1,0.0001,8.0,1,10,0.015795469284057617,3.562483072280884,0.0
2,0.0001518445924339445,8.0,1,10,0.01722443848848343,3.2048301696777344,0.0
3,0.0002305678025143074,8.0,1,10,0.018781334161758423,2.384932041168213,0.0
4,0.00035010474001175213,8.0,1,10,0.019982634112238884,2.6437501907348633,0.0
5,0.0005316151155627665,8.0,1,9,0.020709306001663208,2.50740122795105,0.055248618784530384
6,0.000807228805543526,8.0,1,9,0.021182939410209656,2.502232074737549,0.055248618784530384
7,0.0012257332897869654,8.0,1,8,0.020719453692436218,2.5133416652679443,0.10989010989010989
8,0.0018612097182041994,8.0,1,8,0.021767258644104004,2.4839413166046143,0.10989010989010989
9,0.0028261463109481365,8.0,1,8,0.024093374609947205,2.893786668777466,0.10989010989010989
10,0.004291350347446156,8.0,1,8,0.02404072880744934,2.706155776977539,0.10989010989010989
11,0.006516183444992277,8.0,1,9,0.02126026153564453,2.518187999725342,0.055248618784530384
12,0.009894472194296698,8.0,1,8,0.023254092782735825,2.49922513961792,0.10989010989010989
13,0.015024220976919786,8.0,1,5,0.014777235686779022,2.498250961303711,0.37433155080213903
14,0.022813467108779066,8.0,1,3,0.0018939673900604248,2.477060317993164,0.8163265306122449
15,0.03464101615137756,8.0,1,3,0.0014034062623977661,2.5004382133483887,0.8163265306122449
16,0.05260050979003619,8.0,1,2,0.0017729401588439941,2.5948147773742676,1.0
17,0.07987102970885754,8.0,1,3,0.002659052610397339,2.598037004470825,0.8163265306122449
18,0.12127983953420945,8.0,1,4,0.003695845603942871,2.4009969234466553,0.5263157894736842
19,0.18415687804526243,8.0,1,5,0.006564803421497345,2.508180618286133,0.03076923076923077
20,0.27963226090690496,8.0,1,6,0.009826868772506714,2.4793200492858887,-0.0106951871657754
21,0.4246064668879146,8.0,1,2,0.015312455594539642,2.4969642162323,0.0
22,0.6447419590941255,8.0,1,8,0.021599799394607544,2.4996111392974854,0.10989010989010989
23,0.979005800037105,8.0,1,4,0.01592378318309784,2.5958926677703857,0.0
24,1.4865673669710213,8.0,1,6,0.024099871516227722,2.699549913406372,-0.0106951871657754
25,2.2572721596331653,8.0,1,8,0.01501987874507904,2.4960122108459473,0.16393442622950818
26,3.42754571091988,8.0,1,6,0.014371782541275024,2.6004858016967773,-0.0106951871657754
27,5.204542815233443,8.0,1,3,0.010691240429878235,2.6985065937042236,-0.14213197969543148
28,7.902816825841355,8.0,1,7,0.025213822722434998,2.496706962585449,0.021739130434782608
29,12.0,8.0,1,7,0.020610973238945007,2.5010457038879395,0.11956521739130435
