lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,10,0.036261484026908875,0.9762701988220215,0.0
1,0.0001,8.0,1,10,0.03639183193445206,0.9974267482757568,0.0
2,0.00012742749857031334,8.0,1,10,0.03501220792531967,0.9161169528961182,0.0
3,0.0001623776739188721,8.0,1,10,0.03391236066818237,1.0640687942504883,0.0
4,0.00020691380811147902,8.0,1,10,0.03792561590671539,1.0655322074890137,0.0
5,0.00026366508987303583,8.0,1,10,0.04635611176490784,1.0533430576324463,0.0
6,0.0003359818286283781,8.0,1,10,0.05377693474292755,1.1212410926818848,0.0
7,0.00042813323987193956,8.0,1,10,0.06032593548297882,1.1875739097595215,0.0
8,0.000545559478116852,8.0,1,10,0.0661768764257431,1.3049042224884033,0.0
9,0.0006951927961775605,8.0,1,10,0.07149030268192291,1.3425443172454834,0.0
10,0.0008858667904100823,8.0,1,10,0.0750775933265686,1.34232759475708,0.0
11,0.0011288378916846883,8.0,1,10,0.07935066521167755,1.3434100151062012,0.0
12,0.0014384498882876629,8.0,1,10,0.0820353627204895,1.342512607574463,0.0
13,0.0018329807108324356,8.0,1,10,0.08285769820213318,1.3399946689605713,0.0
14,0.002335721469090121,8.0,1,10,0.0830267071723938,1.3438897132873535,0.0
15,0.002976351441631319,8.0,1,10,0.08545736968517303,1.344923496246338,0.0
16,0.00379269019073225,8.0,1,10,0.0881119966506958,1.3437528610229492,0.0
17,0.004832930238571752,8.0,1,10,0.0915265828371048,1.3430099487304688,0.0
18,0.00615848211066026,8.0,1,10,0.09488321840763092,1.347046136856079,0.0
19,0.007847599703514606,8.0,1,10,0.09739361703395844,1.345566749572754,0.0
20,0.01,8.0,1,10,0.09960505366325378,1.3433148860931396,0.0
21,0.012742749857031334,8.0,1,10,0.10195061564445496,1.3440871238708496,0.0
22,0.01623776739188721,8.0,1,10,0.1044752448797226,1.344531774520874,0.0
23,0.0206913808111479,8.0,1,10,0.10132467746734619,1.342499017715454,0.0
24,0.026366508987303583,8.0,1,10,0.08922629058361053,1.3425254821777344,0.0
25,0.03359818286283781,8.0,1,10,0.08870477974414825,1.34397292137146,0.0
26,0.04281332398719392,8.0,1,10,0.09008432924747467,1.3444247245788574,0.0
27,0.05455594781168514,8.0,1,10,0.11507214605808258,1.3431706428527832,0.0
28,0.06951927961775606,8.0,1,10,0.09391486644744873,1.343733549118042,0.0
29,0.08858667904100823,8.0,1,10,0.03704726696014404,1.3436808586120605,0.0
30,0.11288378916846883,8.0,1,10,0.007883742451667786,1.345869779586792,0.0
31,0.14384498882876628,8.0,1,7,0.016751736402511597,1.1256847381591797,0.16393442622950818
32,0.18329807108324356,8.0,1,8,0.017142221331596375,0.6114139556884766,0.10989010989010989
33,0.23357214690901212,8.0,1,10,0.022676989436149597,1.345491886138916,0.0
34,0.29763514416313164,8.0,1,5,0.01612645387649536,1.3567769527435303,0.425531914893617
35,0.3792690190732246,8.0,1,4,0.009517699480056763,1.3452491760253906,-0.07253886010362694
36,0.4832930238571752,8.0,1,3,0.018056251108646393,1.3451087474822998,-0.038461538461538464
37,0.615848211066026,8.0,1,5,0.010327327996492386,1.3432412147521973,0.425531914893617
38,0.7847599703514607,8.0,1,5,0.017059186473488808,1.3460049629211426,-0.06153846153846154
39,1.0,8.0,1,6,0.01507670059800148,1.3631155490875244,0.0855614973262032
