lambda_index,lambda,rho,round_decimals,clusters_eval,min_linf,time_sec,ari_eval
0,0.0,8.0,1,9,0.01919272541999817,0.9620630741119385,0.055248618784530384
1,0.0001,8.0,1,10,0.01930445432662964,0.9182033538818359,0.0
2,0.00012742749857031334,8.0,1,9,0.01887516677379608,1.0241105556488037,0.055248618784530384
3,0.0001623776739188721,8.0,1,9,0.021076688542962074,1.0844175815582275,0.055248618784530384
4,0.00020691380811147902,8.0,1,10,0.022965198382735252,1.0456385612487793,0.0
5,0.00026366508987303583,8.0,1,8,0.027457326650619507,1.0437695980072021,0.10989010989010989
6,0.0003359818286283781,8.0,1,10,0.028485864400863647,1.183319330215454,0.0
7,0.00042813323987193956,8.0,1,10,0.029301464557647705,1.358426570892334,0.0
8,0.000545559478116852,8.0,1,10,0.02851790189743042,1.3967547416687012,0.0
9,0.0006951927961775605,8.0,1,10,0.03221803903579712,1.384366512298584,0.0
10,0.0008858667904100823,8.0,1,10,0.033640503883361816,1.395188331604004,0.0
11,0.0011288378916846883,8.0,1,10,0.03514692187309265,1.3957374095916748,0.0
12,0.0014384498882876629,8.0,1,10,0.03677508234977722,1.3917417526245117,0.0
13,0.0018329807108324356,8.0,1,10,0.037865400314331055,1.4251606464385986,0.0
14,0.002335721469090121,8.0,1,10,0.03744015097618103,1.4218823909759521,0.0
15,0.002976351441631319,8.0,1,10,0.03726021945476532,1.424691915512085,0.0
16,0.00379269019073225,8.0,1,10,0.03715194761753082,1.4280767440795898,0.0
17,0.004832930238571752,8.0,1,10,0.03667016327381134,1.4304299354553223,0.0
18,0.00615848211066026,8.0,1,10,0.03695264458656311,1.4395241737365723,0.0
19,0.007847599703514606,8.0,1,10,0.04084905982017517,1.436983585357666,0.0
20,0.01,8.0,1,10,0.044214487075805664,1.4284117221832275,0.0
21,0.012742749857031334,8.0,1,10,0.05125691741704941,0.8167026042938232,0.0
22,0.01623776739188721,8.0,1,10,0.06105795130133629,0.640632152557373,0.0
23,0.0206913808111479,8.0,1,10,0.06127364933490753,0.6201531887054443,0.0
24,0.026366508987303583,8.0,1,10,0.06318669021129608,0.6299118995666504,0.0
25,0.03359818286283781,8.0,1,10,0.0704052746295929,0.6236495971679688,0.0
26,0.04281332398719392,8.0,1,9,0.002667456865310669,0.6191079616546631,0.055248618784530384
27,0.05455594781168514,8.0,1,10,0.009680002927780151,0.6214897632598877,0.0
28,0.06951927961775606,8.0,1,9,0.0072154998779296875,0.6228287220001221,0.055248618784530384
29,0.08858667904100823,8.0,1,8,0.005953118205070496,0.6264429092407227,0.16393442622950818
30,0.11288378916846883,8.0,1,7,0.006494879722595215,0.6379528045654297,0.21739130434782608
31,0.14384498882876628,8.0,1,7,0.011849820613861084,0.6245665550231934,0.21739130434782608
32,0.18329807108324356,8.0,1,7,0.010694310069084167,0.6297473907470703,0.16393442622950818
33,0.23357214690901212,8.0,1,5,0.015182435512542725,0.6193642616271973,0.5759162303664922
34,0.29763514416313164,8.0,1,7,0.02333829551935196,0.6349539756774902,0.21739130434782608
35,0.3792690190732246,8.0,1,6,0.013830065727233887,0.6307430267333984,-0.10695187165775401
36,0.4832930238571752,8.0,1,9,0.01856820285320282,0.6283750534057617,0.055248618784530384
37,0.615848211066026,8.0,1,8,0.018758967518806458,0.6280193328857422,0.10989010989010989
38,0.7847599703514607,8.0,1,8,0.024251922965049744,0.6343495845794678,-0.08791208791208792
39,1.0,8.0,1,7,0.012604013085365295,0.6125657558441162,0.03225806451612903
